Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Tahir H.; Özdemir M.K.; Alhajj R.,"Tahir, Hamza (60262500700); Özdemir, M. Kemal (7101678098); Alhajj, Reda (7004187647)",60262500700; 7101678098; 7004187647,The role of LLM-powered chatbots in assisting elderly people: systematic review,2026,Network Modeling Analysis in Health Informatics and Bioinformatics,15,1,26,,,3,10.1007/s13721-025-00698-9,https://www.scopus.com/pages/publications/105026302208?origin=resultslist,"The growing elderly population presents significant challenges in healthcare, mental well-being, and social engagement. While traditional interventions have been effective to some extent, there is an increasing need for scalable, personalized, and intelligent support systems. Large Language Model (LLM)-powered chatbots offer a promising solution by providing real-time, adaptive, and context-aware assistance. This systematic review investigates the applications, benefits, and limitations of LLM-powered chatbots in supporting elderly individuals across different domains. Following the PRISMA framework, we conducted a systematic review of studies from 6 academic databases. The selection process included peer-reviewed journal articles, conference papers, and empirical studies that explored the deployment of LLM-based chatbots in eldercare. Inclusion criteria focused on studies demonstrating chatbot applications in patient education, mental health, physical health support, and AI perception. We extracted data on chatbot functionalities, effectiveness, and challenges while assessing study quality through standardized methodological criteria. A total of 46 studies met the inclusion criteria, highlighting diverse implementations of LLM-powered chatbots in elderly care. Chatbots demonstrated efficacy in patient education by providing accessible and evidence-based medical information, improving adherence to treatment regimens, and assisting with chronic disease management. In mental health support, chatbots were found to reduce loneliness, facilitate reminiscence therapy, and support guided self-reflection. For physical health, AI-driven assistants enhanced rehabilitation programs, exercise adherence, and post-surgical recovery. Public perception studies revealed mixed attitudes toward AI-based chatbots, with acceptance influenced by factors such as digital literacy, trust, and privacy concerns. LLM-powered chatbots represent a transformative technology with significant potential to enhance eldercare. Their ability to provide continuous, scalable, and interactive support positions them as a valuable complement to traditional healthcare and social interventions. However, challenges related to accuracy, ethical concerns, personalization, and integration with existing healthcare frameworks remain. Future research should focus on improving chatbot emotional intelligence, ensuring fair and unbiased AI responses, and fostering user trust through transparency and regulation. © The Author(s), under exclusive licence to Springer-Verlag GmbH Austria, part of Springer Nature 2025.",AI chatbots; Elderly care; Healthcare assistance; Large Language Models; Social engagement,Behavioral research; Diseases; Medical information systems; Patient treatment; AI chatbot; Chatbots; Eldercare; Elderly care; Healthcare assistance; Language model; Large language model; Patient education; Social engagement; Systematic Review; adult; aged; artificial intelligence chatbot; caregiver; elderly care; emotional intelligence; exercise; human; large language model; loneliness; medical information; mental health; patient education; quality control; Review; self-reflection; social engagement; systematic review; telemedicine; treatment outcome; wellbeing; Artificial intelligence,Review,Final,,Scopus,2-s2.0-105026302208
Wagner N.-F.,"Wagner, Nils-Frederic (58364875800)",58364875800,Why care resists coding: the moral limits of medical AI,2026,BMC Medical Ethics,27,1,99,,,1,10.1186/s12910-026-01467-7,https://www.scopus.com/pages/publications/105039599126?origin=resultslist,"The growing integration of artificial intelligence (AI) into healthcare raises substantial normative questions about the nature of caregiving. While medical AI can improve clinical efficiency and assist with administrative tasks, I argue that patient-facing medical AI cannot straightforwardly substitute for genuine caregiving—understood as an embodied, relational, and morally responsive practice that remains answerable to patients’ vulnerability over time. Drawing on conceptual analysis and empirical evidence, I contend that caregiving exceeds technical competence, requiring context-sensitive responsiveness and a form of moral commitment that grounds responsibility when interpretation and response go wrong. Empirical studies on touch in clinical settings underscore how embodied reassurance and trust are mediated by consent, context, and relational meaning in ways current technological proxies only partially reproduce. Although medical AI may simulate elements of empathy through affective cues and conversational performance, such simulations risk generating interactions that appear supportive while obscuring the locus of responsibility within the care relationship. Hybrid AI-human care models and ‘ethics-by-design’ approaches, while often proposed as solutions, can diffuse accountability and fragment moral responsibility unless governance and clinical workflow design preserve clear human answerability. More critically, increasing reliance on patient-facing medical AI may not only yield inadequate simulations of care, but also contribute to a gradual redefinition of what caregiving entails. As expectations shift, relational responsiveness may be displaced by procedural adequacy as the prevailing standard. © The Author(s) 2026.",Artificial Intelligence in Healthcare; Care Ethics; Embodied Moral Agency; Human Touch; Relational Care,Artificial Intelligence; Clinical Coding; Delivery of Health Care; Empathy; Humans; Morals; Trust; article; artificial intelligence; empathy; human; middle aged; morality; reassurance; simulation; touch; vulnerability; workflow; coding; ethics; health care delivery; trust,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105039599126
Bae M.; Kim M.; Kim A.; Lee H.; Woo K.,"Bae, Mijin (60662883800); Kim, Minsung (59476230400); Kim, Aeri (57454448500); Lee, Hana (57207326448); Woo, Kyungmi (57196047836)",60662883800; 59476230400; 57454448500; 57207326448; 57196047836,Understanding research priorities in home health care: a topic modeling analysis of the health services literature,2026,BMC Health Services Research,26,1,1108,,,0,10.1186/s12913-026-14831-5,https://www.scopus.com/pages/publications/105047295919?origin=resultslist,"Background: Home health care (HHC) has become vital amid global aging, rising chronic disease burdens, and shifts toward community-based care. Yet, research priorities remain fragmented. This study aimed to map the evolution of HHC scholarship and identify emerging and underexplored themes. Methods: We analyzed 39,548 PubMed-indexed HHC publications (1952-April 2025) using Latent Dirichlet Allocation topic modeling. A hybrid Konstanz Information Miner–Python workflow supported preprocessing, parameter optimization, and topic extraction. Model performance was assessed with perplexity, coherence, and clustering validation. Results: Ten coherent topics were identified, spanning clinical, technological, and population-focused domains. Healthcare resource utilization remained the most consistent and dominant theme. Rapidly expanding areas included telehealth adoption, technology-assisted caregiving, and end-of-life services. Temporal analysis revealed increasing attention to digitally integrated, person-centered models since the 2010s, accelerated by the COVID-19 pandemic. Pediatric care and high-risk population screening were notably underrepresented. Conclusions: This study provides a macro-level mapping of seven decades of HHC research, highlighting evolving priorities and persistent blind spots. Topic modeling offers valuable insights for shaping a more inclusive, evidence-informed research agenda and guiding policy development in home-based care. © The Author(s) 2026.",Caregiver support; Home health care; Palliative care; Telemedicine; Topic modeling,COVID-19; Digital Health; Health Services Research; Home Care Services; Humans; Telemedicine; coronavirus disease 2019; digital health; epidemiology; health services research; home care; human; organization and management; telemedicine,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105047295919
Fernandes B.E.; Toohey A.M.; Lashewicz B.M.; Charbonneau M.; Holroyd-Leduc J.M.,"Fernandes, Brooklynn E. (57226665826); Toohey, Ann M. (36464396500); Lashewicz, Bonnie M. (23501725300); Charbonneau, Marie (57205356307); Holroyd-Leduc, Jayna M. (6603151204)",57226665826; 36464396500; 23501725300; 57205356307; 6603151204,Developing an implementation guide for robotic pets in continuing care settings for older adults living with dementia in Canada: findings from a modified Delphi,2026,BMC Geriatrics,26,1,501,,,0,10.1186/s12877-026-07032-6,https://www.scopus.com/pages/publications/105035488058?origin=resultslist,"Background: While live animal therapy has been demonstrated to improve the well-being of persons living with dementia, no-pet policies frequently exclude live pets in continuing care settings due to the potential for biting, scratching, and allergies to occur. Robotic pets as an alternative tool for supporting the well-being of persons living with dementia in continuing care is increasing in prevalence due to its therapeutic value. While there are benefits to using robotic pets, implementation challenges and unintended consequences exist. An evidence-based implementation guide is needed to support care providers implementing robotic pets in continuing care to maximize the therapeutic benefits while mitigating implementation challenges. Methods: A RAND/UCLA Modified Delphi method (a consensus-building approach) was used to inform guide development. To develop the Delphi questionnaire, we conducted a scoping review and ethnographic participant observations to identify potential barriers and facilitators to implementing robotic pets in continuing care for persons living with dementia. We then asked Canadian care providers (researchers, healthcare providers, and family and friend caregivers) to complete a two-round Delphi questionnaire, with round 1 feedback from participants integrated into round 2. Results: In round 1, 12 participants reviewed 143 statements on a 7-point Likert scale of agreement. In round 2, 8 participants reviewed 52 revised statements based on feedback from round 1. In total, 135 statements reached consensus for inclusion, and 8 reached consensus for exclusion. The included statements reflected the importance of allowing residents to lead interactions with robotic pets and having resources to support purchasing and maintaining robotic pets. The included statements were used to create two implementation guides, one for health care providers, and one for organizational leaders. Conclusion: The implementation guides reflecting statements that were agreed upon for inclusion by Delphi participants will support care providers implementing robotic pets in continuing care. An evidence-based approach to implementing robotic pets within continuing care will help improve the mental well-being and quality of life of persons living with dementia. © The Author(s) 2026.",Assisted living; Continuing care; Dementia; Implementation; Long-term care; Older adults; Residential care; Robotic pets,Aged; Animal Assisted Therapy; Animals; Canada; Delphi Technique; Dementia; Female; Humans; Male; Pets; Robotics; aged; animal; animal assisted therapy; Canada; Delphi study; dementia; epidemiology; female; human; male; pet animal; procedures; psychology; robotics; therapy,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105035488058
He Y.; Xu J.; An J.,"He, Ye (60735103500); Xu, Jia (57860551400); An, Jianzeng (57859099600)",60735103500; 57860551400; 57859099600,The impact of multidimensional mutual-aid care services on social functions: evidence from a case study in China,2026,BMC Health Services Research,26,1,966,,,0,10.1186/s12913-026-14669-x,https://www.scopus.com/pages/publications/105044462846?origin=resultslist,"Background: The unmet care needs of older adults are rapidly increasing in China. Informal family caregiving is weakened by the migration of the rural labor force to urban areas in search of better income and job opportunities. Formal care services are also insufficient due to insufficient governmental financial support, limited availability of formal caregivers, and challenging economic development conditions. A novelty solution is required to address these issues. Methods: This study draws on existing mutual-aid care services for older adults in rural China and proposes a theoretical framework to examine the impact of multidimensional mutual-aid care services. Key areas of focus include service design, delivery, and accessibility, as well as their implications for the social functioning of older adults. The model was tested through a case study in South China, involving exploratory interviews with 40 participants associated with the village’s mutual-aid care service system and an analysis of 112 implementation documents from 2000 to 2020. Results: Our findings address significant research gap by emphasizing the importance of understanding the social implications of multidimensional mutual-aid care services in the community. This understanding can facilitate a better alignment of care policies with societal objectives and provide a more informed response to the challenges posed by aging population. We identify four structural dimensions of multidimensional mutual-aid care service including perceptions, regulations, providers and resources, and analyze their differential impacts on socio-cultural, social orientation, social integration and social communicational functions. Conclusions: Based on our findings, we propose four directions to guide future research and encourage discussion on policies aimed at aligning mutual-aid care service development with societal expectations for older adults. This study offers constructive insights, analyzes the delivery and accessibility of social care services, and highlights valuable lessons from China’s experiences, setting a modest example of efficient care service implementation on a local scale while maintaining an international perspective. © The Author(s) 2026.",Aging population; Mutual-aid care service; Older adult; Policy alignment; Qualitative case study; Social function,Aged; Caregivers; China; Female; Health Services Accessibility; Humans; Interviews as Topic; Organizational Case Studies; Qualitative Research; Rural Population; Social Support; aged; caregiver; China; female; health care access; health services research; human; interview; qualitative research; rural population; social support,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105044462846
Nield L.; Jackson C.; Tarpani R.R.Z.; Story M.; Di Nuovo A.; Fowler-Davis S.,"Nield, Lucie (24344347900); Jackson, Charlotte (59465864400); Tarpani, Raphael Ricardo Zepon (55919626000); Story, Matthew (57247500800); Di Nuovo, Alessandro (60410942900); Fowler-Davis, Sally (36135238600)",24344347900; 59465864400; 55919626000; 57247500800; 60410942900; 36135238600,"What social and environmental considerations are important for socially assistive robotic adoption for pre-frail older adults at home: a scoping review, life cycle assessment and survey",2026,BMC Geriatrics,26,1,460,,,0,10.1186/s12877-025-06892-8,https://www.scopus.com/pages/publications/105035023828?origin=resultslist,"Background: A complex evaluation of robotic adoption for older adults is necessary, given the pressing need to prevent ill health and disability. Critical thinking that incorporates an understanding of sustainability is needed for the future, if assistive robots are to be widely used. This research was undertaken as part of I’MACTIVE, a project that combined emergent technologies for older adults at risk of becoming frail. The aim was to analyse the sustainability of emerging socially assistive robotic technology for use with community dwelling older people and to assess the likelihood of adoption and acceptability. Methods: The study includes a scoping review of the social and environmental impacts of socially assistive robotics, a life cycle impact evaluation of a robot and potential metrics for assessing its circularity, and a subsequent survey in two stages of the perspectives of older adults on assistive robotics. The evaluation sought to assess the likelihood of adoption, given priorities and perspectives of older people. Framework analysis was used to combine findings. Results: The review included eight studies, but none addressed the social and environmental features of the robotic implementation in terms of needs of older people. Theories of adoption and acceptance do not yet include life cycle assessments of technologies. The environmental assessment of the TurtleBot4 robot indicated that its global warming potential is estimated at 68–118 kg CO2-eq. The most important components were the printed circuit boards and batteries, together responsible for over 60% of the impacts. The survey demonstrates that older adults are willing to use socially assistive robotics if robots have an appropriate level of function, cost, environmental impact and legal risk. Conclusions: Socially assistive robotics may benefit some older people but currently the design process inconsistently factors in the values and choices of older people. Nor does it consider the environmental implications of scaling the deployment of robotics in personal residences. Robots have the potential to help with the caregiving and domestic needs of the growing ageing population but need to be sustainably produced and have tangible functional benefit, identified by older people, to be acceptable. © The Author(s) 2026.",Life cycle assessment; Older adults; Socially assistive robotics; Technology adoption,Aged; Aging in Place; Frail Elderly; Humans; Independent Living; Robotics; Self-Help Devices; Surveys and Questionnaires; aged; devices; frail elderly; human; independent living; procedures; psychology; questionnaire; robotics; self help device,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105035023828
Gao J.; Jones E.C.; Brown L.D.; Radford B.J.; Liang J.; Tsai J.,"Gao, Jingjing (57223164142); Jones, Eric C. (55448334700); Brown, Louis D. (57211881599); Radford, Benjamin J. (57208026628); Liang, Jiaming (57217118565); Tsai, Jack (60722050100)",57223164142; 55448334700; 57211881599; 57208026628; 57217118565; 60722050100,The geographic digital divide among dementia caregivers in the U.S.: a cross-sectional study,2026,BMC Health Services Research,26,1,897,,,0,10.1186/s12913-026-14690-0,https://www.scopus.com/pages/publications/105043721938?origin=resultslist,"Background: Digital health tools, particularly patient portals, can support caregiving, but there is limited understanding of how sociodemographic and geographic factors influence digital health engagement among U.S. caregivers, especially dementia caregivers. Dementia caregiving involves complex coordination, medication management, and frequent healthcare interactions. Therefore, access to online medical records is particularly valuable. Moreover, most previous research focuses on general digital health adoption or patient portal use among patients, not caregivers, particularly among dementia caregivers, and rarely considers geographic differences or the interaction effects between age and caregivers’ self-rated health. Comparing dementia caregivers to those without is essential because dementia caregiving entails more extensive care, longer duration, behavioral challenges, and emotional strain. These factors may increase reliance on digital health tools like online medical records. However, national studies often do not distinguish between dementia and non-dementia caregiving in digital health analyses. Objective: This study explored how sociodemographic and geographic factors are associated with caregivers’ frequency of accessing care recipients’ online medical records, especially for caregivers of individuals living with dementia compared to those caregivers of individuals without dementia. We also evaluated the interaction effect between age and health condition, motivated by the hypothesis that digital engagement is influenced not only by age but also by functional health status. Methods: This study examined caregivers’ portal access frequency using data from the 2022 National Health Interview Survey, collected between March 7th and November 8th, 2022. Descriptive statistics captured differences in access frequency and sociodemographic characteristics between dementia caregivers and non-dementia caregivers. Three ordered logistic regression models examined predictors of accessing online medical records for dementia caregivers, non-dementia caregivers, and all caregivers, followed by an all-caregiver model with interaction terms to assess moderation effects between caregiver age and self-reported health. ArcGIS Pro was adopted to visually capture the geographic regional divide in portal access frequency across the U.S. Results: Of the 6,252 total responses, 916 caregivers provided data on portal access frequency. More than half of dementia caregivers (60.25%) and non-dementia caregivers (51.11%) did not access online medical records in the past 12 months. Frequent access (≥ 10 times/year) was low across both groups (dementia caregivers (7.03%) vs. non-dementia caregivers (12.66%)). Survey-weighted ordered logistic regression models identified significant sociodemographic and geographic disparities in portal access frequency. Being female (OR = 1.931, SE: 0.074), having a bachelor’s degree (OR = 1.769, SE: 0.168), and being married (OR = 1.749, SE: 0.068) were associated with higher portal access frequency in the all-caregivers model, and similar results were found in dementia caregivers and non-dementia caregivers. Regarding geographic disparities, dementia caregivers residing in micropolitan areas had substantially lower odds of frequent portal access than those in metropolitan areas (OR = 0.633, SE: 0.071); a similar trend was observed among dementia and non-dementia caregivers. Rural residence was also associated with lower portal access among dementia caregivers (OR = 0.529, SE: 0.152) and non-dementia caregivers (OR = 0.654, SE: 0.097). In the all-caregiver sample, caregivers in small-town areas (OR = 0.522, SE: 0.071) had lower odds of portal access compared to metropolitan caregivers. Health status showed differential patterns across caregiving groups. Among dementia caregivers, reporting very good health (vs. excellent) was associated with lower odds of portal access (OR = 0.268, SE: 0.023), whereas among non-dementia caregivers, very good health was associated with higher portal access (OR = 1.246, SE: 0.062). Good or fair health was associated with lower portal access across all caregiver groups. Interaction analysis revealed that as caregiver age increased, those in poor health had a significantly lower portal access frequency. Conclusions: Accessing online medical records among family caregivers remains limited and varies notably by gender, educational attainment, geographic location, and the interaction between age and health status. These findings highlight the importance of developing tailored digital support strategies that address the intersecting socioeconomic and health-related barriers faced by caregivers, particularly as artificial intelligence-enabled tools become more prevalent in dementia care. Older caregivers in poor health are especially unlikely to adopt digital resources, underscoring the urgent need for targeted outreach and educational initiatives. Additionally, the persistent geographic digital divide among dementia caregivers, especially those in small towns, calls for increased support to promote equitable access to caregiving technologies. Trial registration: This study conducted a secondary data analysis, so trial registration is NOT required because it does not run a prospective randomized trial. And Institutional Review Board approval is also not needed because the dataset is de-identified and public. © The Author(s) 2026.",Artificial intelligence; Caregivers; Dementia; Medical records; Technology,"Aged; Aged, 80 and over; Caregivers; Cross-Sectional Studies; Dementia; Digital Divide; Digital Health; Electronic Health Records; Female; Humans; Male; Middle Aged; Patient Portals; Sociodemographic Factors; Socioeconomic Factors; United States; aged; caregiver; cross-sectional study; dementia; digital divide; digital health; electronic health record; female; human; male; medical record; middle aged; sociodemographics; socioeconomics; United States; very elderly",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105043721938
Yee A.; Yaffe M.J.; Schuster T.; Lambert S.; Abbasgholizadeh-Rahimi S.,"Yee, Amanda (57659215000); Yaffe, Mark J. (7101980633); Schuster, Tibor (16643719200); Lambert, Sylvie (12775607100); Abbasgholizadeh-Rahimi, Samira (55975176200)",57659215000; 7101980633; 16643719200; 12775607100; 55975176200,Family caregivers’ acceptance of Artificial Intelligence-enabled technologies for providing care to older adults,2026,BMC Geriatrics,26,1,150,,,2,10.1186/s12877-025-06249-1,https://www.scopus.com/pages/publications/105029101322?origin=resultslist,"Background: Artificial intelligence (AI)-enabled technologies hold promise for assisting in the care of an aging population. Few studies have focused on exploring family caregivers’ (FCGs) behavioural intention of using such innovation, and even fewer have employed a technology acceptance framework. Objective: This study examined FCGs of older adults’ behavioural intention of using AI-enabled technologies for caregiving. Research design and methods: We conducted a theory-based cross-sectional quantitative survey. Eligible FCGs for this study were: (1) aged 45–64; (2) residing in Quebec, Canada; (3) providing care for at least one older adult (65+); (4) having access to a computer or smartphone with internet connectivity; and, (5) having proficiency in reading and comprehending English or French. We adapted and expanded the Unified Theory of Acceptance and Use of Technology (UTAUT) framework to measure their behavioural intention of using AI-enabled technologies for caregiving. We used descriptive statistics and a random forest model to assess the most important predictive factors across nine variables and their direction of association with behavioural intention. The Consensus-Based Checklist for Reporting of Survey Studies (CROSS) guidelines was used for reporting the study’s results. Results: Among the polling firm’s 100,000 panelists, 2740 eligible individuals were randomly chosen to receive an email invitation to the study. Of 465 panelists who opened the survey (i.e., unique visitors),199 were eligible and completed the online survey. The random forest model explained between 56% and 86% of the behavioural intention variance of using AI, with social influence demonstrating the highest predictive relevance as indicated by a 35% increase in mean-squared error once removed from the model. Among the nine variables considered, six demonstrated a positive association with behavioural intention. These variables included social influence, effort expectancy, performance expectancy, perceived trust, confidence in healthcare professionals’ advice for the use of AI-enabled technologies, and facilitating connditions. The variables perceived cost and technology anxiety indicated a negative association with behavioural intention. Discussion and implications: Our extended UTAUT model identified factors associated with FCGs' intention to use AI. While all nine variables contributed, attitudes toward AI within caregivers’ social circles was the strongest predictor. Stakeholders from industry, government, and healthcare can enhance the adoption of AI-enabled technologies in older adult care by leveraging facilitators and addressing barriers experienced by caregivers. © The Author(s) 2025.",Artificial Intelligence; Attitudes; Digital health; Digital innovation; Informal caregiving; Machine learning; Older adults' care,Aged; Artificial Intelligence; Attitude to Computers; Caregivers; Cross-Sectional Studies; Digital Health; Female; Humans; Male; Middle Aged; Patient Acceptance of Health Care; Quebec; aged; artificial intelligence; attitude to computers; caregiver; cross-sectional study; digital health; epidemiology; female; human; male; middle aged; patient attitude; psychology; Quebec,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105029101322
Li X.; Liu Z.; Wu Y.; Zhu H.; Liu L.,"Li, Xiaoying (57222068525); Liu, Zhen (56724824900); Wu, Yuzhou (60816472900); Zhu, Huiyang (60815763700); Liu, Liu (60815415400)",57222068525; 56724824900; 60816472900; 60815763700; 60815415400,Intelligent fall risk prediction and real-time warning system for elderly care based on multimodal deep learning and wearable sensor fusion,2026,Scientific Reports,16,1,27166,,,0,10.1038/s41598-026-56750-9,https://www.scopus.com/pages/publications/105048823691?origin=resultslist,"Falls remain a leading cause of injury-related morbidity and mortality among adults aged 65 and older, and these human and economic costs keep rising as populations age worldwide. Most existing risk assessment tools rely on periodic clinical evaluations or single-sensor wearable devices, neither of which tracks the dynamic, multifactorial nature of fall risk throughout daily life. In this paper we describe the design, implementation, and pilot-level field validation of an integrated system that pairs a multi-sensor wearable unit (triaxial accelerometer, gyroscope, insole pressure array, and wrist-worn photoplethysmography) with a CNN-LSTM deep learning backbone enhanced by eight-head attention. The network ingests temporally aligned signals from all four modalities, extracts hierarchical spatiotemporal features, and outputs a continuous risk score that a rule-based engine maps onto four graded alert tiers. We collected data from 120 community-dwelling older adults (mean age 72.4 years) over six months and evaluated the system on a held-out test set of 18 participants (12,540 windows, 6 fall events). The model reached 94.2% overall accuracy and an AUC of 0.967, surpassing random forest, SVM, single-modality CNN and LSTM, a Transformer encoder baseline, and a late-fusion variant. We stress, however, that the extreme class imbalance (fall windows constitute only 0.05% of total windows, with a high-risk PPV of merely 6.25%) severely limits the stability and interpretability of sensitivity estimates; a single misclassification among the six fall events shifts sensitivity by roughly 17% points. End-to-end pipeline latency averaged 138 ms on a smartphone, satisfying real-time operational requirements. In a subsequent three-month deployment with 80 participants, the group receiving active alerts recorded 62% fewer falls than the passive-monitoring control group (0.82 vs. 2.14 falls per person-month; p < 0.01). This deployment, however, was conceived as a technical field test of system operability rather than a clinical efficacy trial; the fall incidence difference is an exploratory, secondary observation confounded by concurrent daily risk summaries and caregiver notifications, and it should not be interpreted as evidence of causal preventive effect. Importantly, the window-level classification PPV (6.25%) and the deployment-level alert PPV (87.8%) differ because the latter applies episode-level aggregation through the rule-based warning engine, and readers should note this distinction when comparing metrics across sections. User satisfaction averaged 4.3/5 on a Likert scale, and wearing compliance reached 91.3% of waking hours. Taken together, these results suggest that multimodal sensor fusion combined with attention-based deep learning offers a technically viable path toward continuous, community-based fall risk monitoring, while also underscoring the need for larger-scale, prospectively registered randomized controlled trials to establish whether such systems can causally reduce fall incidence. © The Author(s) 2026.",Deep learning; Elderly care; Fall risk prediction; Multimodal fusion; Real-time warning system; Wearable sensors,"Accidental Falls; Aged; Aged, 80 and over; Deep Learning; Female; Humans; Long Short Term Memory; Male; Risk Assessment; Wearable Electronic Devices; aged; deep learning; falling; female; human; long short term memory network; male; prevention and control; procedures; risk assessment; very elderly; wearable electronic device",Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105048823691
Kimani R.W.,"Kimani, Rachel Wangari (57200524210)",57200524210,Care ethics and the transformation of care in an age of artificial intelligence,2026,BMC Medical Ethics,27,1,149,,,0,10.1186/s12910-026-01474-8,https://www.scopus.com/pages/publications/105046470504?origin=resultslist,"Background: The integration of artificial intelligence (AI) and care robots into healthcare raises a central ethical question: what constitutes care, and how should it be delivered when machines perform caregiving tasks? Dominant AI ethics frameworks, including principlism, deontology, and consequentialism, focus on fairness, duties, and outcomes. While important, these approaches often view care primarily as technical compliance or efficiency, overlooking its relational and evaluative aspects. Methods: This analysis employs a normative, conceptual approach rooted in care and relational ethics, examining duty-based, outcome-oriented, and virtue-based care frameworks to highlight how they differ from care ethics as a structured moral practice. Tronto’s four stages of care (attentiveness, responsibility, competence, and responsiveness) serve as a framework for assessing moral labor in caregiving. Literature on social robots in healthcare is used illustratively. Conceptual analysis compares the interpersonal and moral dimensions of human caregiving with forms of AI interaction, noting changes when machines mediate or perform caregiving tasks. Results: The analysis shows that although AI systems can improve monitoring, coordination, and task performance, they do not assume moral responsibility or provide the relational and evaluative work that caregiving requires. Social and assistive robots reorganize moral labor by shifting attentiveness toward sensing, responsibility toward oversight, competence toward optimization, and responsiveness toward adaptive feedback. These changes create a functional resemblance to care without reproducing the moral engagement that characterizes genuine caregiving. Conclusion: Care ethics elucidates the moral practices of caregiving and how these practices are transformed through the integration of AI into healthcare relationships. Since caregiving involves vulnerability, interdependence, and judgment, it cannot rely solely on efficiency. A care-ethical perspective demonstrates that AI does not replace moral labor; rather, it reorganizes it in ways that reduce the conditions under which authentic caregiving can be conducted. The incorporation of care ethics into AI governance frameworks provides tools for assessing not just what these technologies do but what they cost the moral practice of caregiving. © The Author(s) 2026.",Artificial intelligence; Bioethics and technology; Care ethics; Healthcare robotics; Moral responsibility; Relational autonomy,Artificial Intelligence; Caregivers; Delivery of Health Care; Humans; Moral Obligations; Morals; Robotics; artificial intelligence; caregiver; ethics; health care delivery; human; moral duty; morality; robotics,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-105046470504
