"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Gujjeti S.; Madhavi N.; Venkateswarlu B.; Spandana B.; Murthy G.S.; Swathi P.","Gujjeti, Sridhar (57226644301); Madhavi, N. (60683429400); Venkateswarlu, Bondu (57201579807); Spandana, Bandari (60683429500); Murthy, Garapati Satyanarayana (57191330102); Swathi, Pacha (60220490200)","57226644301; 60683429400; 57201579807; 60683429500; 57191330102; 60220490200","NeuroCrossAttention fusion for multimodal explainable early diagnosis of neurodegenerative diseases","2026","Discover Computing","29","1","329","","","0","10.1007/s10791-026-10200-2","https://www.scopus.com/pages/publications/105041332785?origin=resultslist","Alzheimer's disease (AD) and Parkinson disease (PD) are common neurodegenerative diseases with progressive cognitive or motor dysfunction, which have been recognised as a significant burden on public health. The phenotypically divergent manifestations of these disorders are multifactorial, incorporating risks from diverse sources (neuroimaging, genetics, clinical history, and EHRs), making it difficult to establish accurate and timely diagnoses. Existing deep learning-based methods are mainly unimodal or rely on simple fusion techniques, which do not exploit inter-modal dependencies and limit the generalizability of the datasets. They are hard to interpret and lack clinical applicability. To address these issues, we propose an innovative multimodal deep learning framework, i.e., NeuroCrossAttention Fusion (NCAF), that integrates images, genetics, clinical information, and EHR data via cross-modal attention. The neural network learns to automatically weigh the importance of different modalities in a task-dependent manner, taking into account their relationships. It can produce an effective fusion that surpasses classical early- or late-concatenation methods. For the model, we have an explainability module that outputs Grad-CAM for imaging and SHAP for tabular modalities, enabling clinicians to validate them. We conducted thorough experiments on four benchmark datasets (ADNI, PPMI, OASIS, and UK Biobank) in both intra-dataset and cross-cohort settings. The model yielded superior performance on each dataset and achieved the best (92.8\%, AUC = 0.964) among state-of-the-art deep learning baselines, including MultiModal-Transformer and Late Fusion Ensemble, on the ADNI dataset, with wide margins in accuracy. Ablation studies showed that the cross-attention and explainability modules both contributed more to performance than either did alone. The framework, with its promising interpretability and generalisation ability in clinical decision support (i.e., diagnosis of neurodegenerative diseases and monitoring disease progression), is believed to be a valuable tool for clinicians to diagnose patients. By addressing the limitations of previous methods, it offers a scalable and robust AI solution for real-world healthcare applications. © The Author(s) 2026.","Clinical decision support; Cross-attention fusion; Explainable AI; Multi-modal deep learning; Neurodegenerative disease diagnosis","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105041332785"
"El Abdi K.; Alshamsi R.R.B.S.; Ibrahim M.; Bibi F.; Anwar A.Q.; Hamza M.; Faisal M.R.; Kumari S.; Aslam B.; Muneeb M.; Hassan V.M.; Rahman S.U.; Sadat S.H.","El Abdi, Khalil (60094285700); Alshamsi, Roda Rashid Bin Sultan (60415789000); Ibrahim, Muhammad (59889137300); Bibi, Fazeela (57204155247); Anwar, Abdul Qudoos (60416410600); Hamza, Muhammad (59363761100); Faisal, Mohammad Rayyan (60348654000); Kumari, Suraksha (60415367900); Aslam, Bilal (57194613856); Muneeb, Muhammad (59847504700); Hassan, Vohra Maham (60227727300); Rahman, Shafiq Ur (60046114600); Sadat, Said Hamid (60172393500)","60094285700; 60415789000; 59889137300; 57204155247; 60416410600; 59363761100; 60348654000; 60415367900; 57194613856; 59847504700; 60227727300; 60046114600; 60172393500","The cyber-physical paradigm for lifetime aortic valve management: a synthesis of robotics, artificial intelligence, and augmented reality","2026","Journal of Robotic Surgery","20","1","289","","","0","10.1007/s11701-026-03262-3","https://www.scopus.com/pages/publications/105031162582?origin=resultslist","To provide a narrative synthesis of the clinical and technological evidence for a conceptual cyber-physical paradigm in aortic valve surgery, where Robotic Aortic Valve Replacement (RAVR) serves as a platform for integrated artificial intelligence (AI) and augmented reality (AR) systems. This review evaluates the thesis that this approach is poised to redefine the standard of care for the lifetime management of aortic valve disease. This review analyzes the current literature on RAVR, AI-driven decision support, and AR-guided surgery. Clinical outcomes of RAVR are critically compared to traditional and transcatheter approaches, with a focus on the growing cohort of younger, lower-risk patients. Hypothesis-generating evidence from a key propensity-matched analysis suggests that in highly selected, younger, lower-risk patients, RAVR may be associated with favorable outcomes compared to Transcatheter Aortic Valve Replacement (TAVR), including lower one-year mortality (1.4% vs. 12.5%) and rates of greater-than-mild paravalvular leak (0.7% vs. 21.5%). These observational findings must be interpreted with caution due to the potential for significant selection bias and residual confounding, and they require validation in randomized trials. Our synthesis proposes that integrating AI for predictive modeling and AR for intraoperative navigation could transform RAVR into a cohesive, data-driven therapeutic pathway. However, widespread adoption is constrained by substantial socio-technical challenges, including high capital costs, a steep learning curve confined to expert centers, and the risk of algorithmic bias. The conceptual fusion of robotics, AI, and AR represents a potential future shift in aortic valve disease management, from a craft-based art toward a data-driven science. While this integrated paradigm is not yet clinically validated, it holds the potential to enhance precision and personalize care, aiming to provide a more durable, lifetime-oriented solution for a new generation of patients. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2026.","Artificial Intelligence; Augmented Reality; Cardiothoracic Surgery; Cyber-Physical Systems; Robotic Aortic Valve Replacement (RAVR)","Aortic Valve; Aortic Valve Disease; Artificial Intelligence; Augmented Reality; Heart Valve Prosthesis Implantation; Humans; Intelligent Systems; Robotic Surgical Procedures; Surgery, Computer-Assisted; Transcatheter Aortic Valve Replacement; Blood vessels; Decision support systems; Diseases; Intelligent robots; Robotic surgery; Aortic valves; Augmented reality systems; Cardiothoracic surgery; Cybe-physical systems; Cyber physicals; Cyber-physical systems; Data driven; Robotic aortic valve replacement; Valve disease; Valve replacement; algorithm bias; aortic valve; aortic valve disease; aortic valve replacement; artificial intelligence; augmented reality; clinical outcome; cohort analysis; decision support system; disease management; human; learning curve; lifespan; low risk patient; paravalvular leak; predictive model; review; robotics; selection bias; thorax surgery; aortic valve disease; computer assisted surgery; heart valve replacement; procedures; robot assisted surgery; smart device; surgery; transcatheter aortic valve implantation; Augmented reality","Review","Final","","Scopus","2-s2.0-105031162582"
"Ruan Y.; Liang H.; Yamamoto S.; Lin S.","Ruan, Yunchen (58690168800); Liang, Haodong (59545685100); Yamamoto, Seita (60687269300); Lin, Shiqi (57306760800)","58690168800; 59545685100; 60687269300; 57306760800","Machine learning in mental health promotion for older adults: a scoping review","2026","BMC Geriatrics","26","1","821","","","0","10.1186/s12877-026-07543-2","https://www.scopus.com/pages/publications/105041548228?origin=resultslist","Objectives: Owing to the rapidly aging global population, an increasing number of older adults are experiencing mental health problems. Although machine learning has shown a lot of potential for promoting mental health in this group, there are no scoping reviews in this field. This study aimed to provide an overview of the applications of machine learning in promoting the mental health of older adults and identify associated trends and challenges. Methods: A scoping review was conducted based on the framework by Arksey and O’Malley. Three electronic databases, including Web of Science, PubMed, and IEEE Xplore, were systematically searched from database inception to March 15, 2026. We included English-language studies on the use of machine learning to promote mental health among older adults. Relevant information was extracted, summarized, and analyzed. Results: A total of 144 articles were included in this review. Our review showed that the current research reveals diverse data and algorithms, with machine learning applications concentrated in two directions. One is the prediction of the risk of mental health problems, and the other is the detection and identification of mental health status. There are still challenges in methodology and application directions, although machine learning effectively helps address some limitations of existing research. Conclusions: Future research may consider improving data quality, implementing longitudinal designs more extensively, enhancing model interpretability, and broadening research on various mental health problems and intervention–effect prediction. These initiatives may strengthen the empirical basis for clinical judgment and public health policy. © The Author(s) 2026.","Healthy aging; Machine learning; Mental health; Older adults; Scoping review","Aged; Health Promotion; Humans; Machine Learning; Mental Health; aged; health promotion; human; machine learning; mental health; procedures","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105041548228"
"Shen A.; Yuan M.; Huang Q.; Feng B.; Du J.; Ma Y.; Wang M.","Shen, Ao (58769364200); Yuan, Mingzhi (57444680700); Huang, Qiao (59423106600); Feng, Bin (57995856000); Du, Jie (59149209200); Ma, Yingfan (58539143900); Wang, Manning (22735212300)","58769364200; 57444680700; 59423106600; 57995856000; 59149209200; 58539143900; 22735212300","Functional guidance for whole-protein virtual screening under pocket-unknown and structural ambiguity conditions","2027","Information Fusion","138","","104709","","","0","10.1016/j.inffus.2026.104709","https://www.scopus.com/pages/publications/105047813094?origin=resultslist","Virtual screening (VS) for protein targets lacking well-defined binding pockets or high-resolution structures poses a significant challenge in drug discovery, while these proteins represent a vast and important class of currently hard-to-drug targets. However, whole-protein screening is particularly difficult when high-quality training data are scarce, limiting model generalization to unseen targets. To address this, we propose Func-VS, a whole-protein contrastive learning framework that incorporates functional semantics to enrich protein representations beyond primary sequence or structural features. By leveraging functional information as a semantic bridge, Func-VS enables the model to infer potential binding patterns from proteins’ biological roles, even in the absence of explicit pocket definitions. The framework supports flexible protein inputs, including sequence, structure, or their combination. In dual-modality settings, an uncertainty-aware fusion strategy based on information entropy dynamically balances modality contributions without introducing additional trainable parameters. Extensive experiments on four virtual screening benchmarks demonstrate that Func-VS consistently improves screening performance for whole-protein inputs and exhibits superior generalization to previously unseen protein targets. © 2026 Elsevier B.V.","AI for science; Contrastive learning; Drug virtual screening; Functional alignment","Artificial intelligence; Biochemistry; Contrastive Learning; Drug discovery; Drug products; Proteins; Semantics; Virtual reality; AI for science; Binding pockets; Condition; Drug virtual screening; Functional alignment; Functionals; High-resolution structures; Protein targets; Structural ambiguity; Virtual Screening; Benchmarking","Article","Final","","Scopus","2-s2.0-105047813094"
"Alhablain E.; Sedky N.A.; Alsuhaibani M.","Alhablain, Eman (57202894029); Sedky, Nabila Ahmed (60796062000); Alsuhaibani, Mohammed (57201200534)","57202894029; 60796062000; 57201200534","The Role of Artificial Intelligence in Gingivitis Diagnosis: A Scoping Review of Applications, Benefits, and Challenge","2027","Communications in Computer and Information Science","2948 CCIS","","","223","233","0","10.1007/978-981-92-1546-1_18","https://www.scopus.com/pages/publications/105047658781?origin=resultslist","Gingivitis affects a large proportion of the global population, and early detection is critical to preventing progression to severe periodontal disease. Artificial intelligence (AI) has emerged as a promising tool for automated diagnosis and screening. This review examined current applications of AI in gingivitis diagnosis, focusing on technologies, performance, benefits, and implementation challenges. A scoping review was conducted following PRISMA-ScR guidelines, with systematic searches across multiple databases and study selection guided by the PCC framework. Thirteen studies published between 2017 and 2025 were included, 69% of which appeared in the past four years, reflecting accelerating research momentum. Convolutional neural networks dominated, with models ranging from ResNet-50 to Oral-Mamba. Reported performance varied, with accuracy ranging from 77% to 92.5%, the highest achieved through feature fusion. Sensitivity frequently exceeded 90%, while specificity showed broader variability (50–94%). Mobile health applications further demonstrated feasibility for community-based screening. Overall, AI shows strong potential in gingivitis diagnosis, particularly CNN-based approaches achieving high accuracy and sensitivity. Mobile platforms may expand accessibility, but inconsistency in specificity underscores the influence of dataset and model variability. Robust validation, standardized datasets, and multi-center trials are essential to establish reliability and support routine clinical adoption. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2027.","Artificial intelligence; Convolutional Neural Networks; Deep Learning; Gingivitis; Machine Learning","Convolutional neural networks; Deep neural networks; Diagnosis; Learning systems; Automated diagnosis; Automated screening; Benefit and challenges; Convolutional neural network; Deep learning; Gingiviti; Global population; Machine-learning; Periodontal disease; Scoping review; Convolution","Conference paper","Final","","Scopus","2-s2.0-105047658781"
"Jalali S.; You Q.; Xu V.; Chen L.; Zini J.; Zamorano T.; Luo Y.; Friesen T.; Fontana G.J.; Benrimoh D.","Jalali, Sara (57209536075); You, Qiong (60261342600); Xu, Victoria (60261355700); Chen, Langfan (60261355800); Zini, Jonathan (58141679900); Zamorano, Tihare (58912984000); Luo, Yangyu (60261342700); Friesen, Timothy (59218374300); Fontana, Gabriel James (60261328300); Benrimoh, David (57191140063)","57209536075; 60261342600; 60261355700; 60261355800; 58141679900; 58912984000; 60261342700; 59218374300; 60261328300; 57191140063","The Use of Artificial Intelligence for Personalized Treatment in Psychiatry","2026","Current Psychiatry Reports","28","1","7","","","4","10.1007/s11920-025-01656-y","https://www.scopus.com/pages/publications/105026223440?origin=resultslist","Purpose of Review: This review examines the role of artificial intelligence (AI) in psychiatry in the past 5 years across four domains: screening; outcome prediction; risk and relapse prediction; and psychotherapy. Recent Findings: Machine learning models applied to questionnaires, electronic health records, neuroimaging, and digital phenotyping data demonstrate promising results for predicting symptom trajectories, relapse risk and treatment response, but external and clinical validation is rare. Randomized controlled trials provide some evidence for AI-enabled clinical decision support, but only preliminary evidence for chatbot-delivered psychotherapy. Some preliminary evidence for chatbots in screening exists. Ethical risks, including automation bias, model opacity and socioemotional harms, complicate integration into practice. Summary: Current evidence only supports AI’s role as a complement to clinical expertise. To realize safe integration of AI into clinical practice, future work should focus on prospective, multi–site trials with active comparators, external validation across diverse populations, transparent reporting, and governance frameworks that prioritize explainability, oversight, and equity. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.","Artificial intelligence; Conversational agents; Digital phenotyping; Large language models; Psychotherapy; Risk prediction","Artificial Intelligence; Humans; Mental Disorders; Precision Medicine; Psychiatry; Psychotherapy; artificial intelligence; artificial intelligence chatbot; automation bias; clinical decision support system; cognitive behavioral therapy; electronic health record; ethical dilemma; human; large language model; machine learning; mental disease; mental disease assessment; mental health care; neuroimaging; personalized medicine; prediction; primary prevention; psychiatry; psychoeducation; psychotherapy; relapse; Review; risk assessment; screening; secondary prevention; treatment planning; treatment response; diagnosis; mental disease; procedures; therapy","Review","Final","","Scopus","2-s2.0-105026223440"
"Wan X.; Du Y.; Zhang C.; Li G.; Li X.; Cao Z.; Xu J.; Feng H.","Wan, Xiao (57226473710); Du, Yunfei (59298630700); Zhang, Chi (57266332300); Li, Guoan (59424720100); Li, Xiaoyang (57280220800); Cao, Zeng (57222474519); Xu, Jingcan (57211142153); Feng, Hui (44360942700)","57226473710; 59298630700; 57266332300; 59424720100; 57280220800; 57222474519; 57211142153; 44360942700","Outcomes of pulmonary rehabilitation in older adults with chronic obstructive pulmonary disease: a systematic review","2026","BMC Geriatrics","26","1","1071","","","0","10.1186/s12877-026-07810-2","https://www.scopus.com/pages/publications/105047931361?origin=resultslist","Background: Outcome heterogeneity in pulmonary rehabilitation (PR) for older adults with chronic obstructive pulmonary disease (COPD) limits evidence synthesis and hampers clinical standardization. This review aimed to identify and categorize the outcome indicators, measurement tools, and assessment time points in PR studies for older COPD patients, to inform a future core outcome set (COS). Methods: This systematic review followed the Preferred Reporting Items for Systematic Reviews and Meta-Analyses–COnsensus-based Standards for the selection of health Measurement INstruments (PRISMA-COSMIN) 2024 guideline. The study protocol was prospectively registered with PROSPERO (CRD420250652844). Eight databases were searched from inception to February 2025. Study characteristics, outcome indicators, measurement tools, and time points were extracted. Outcomes were categorized into domains based on the Core Outcome Measures in Effectiveness Trials (COMET) taxonomy and analyzed descriptively. Results: A total of 95 studies (n = 204,626) were included, reporting 590 outcome indicators consolidated into 148 unique types across six domains: Physiological/Clinical (64.92%), Functional Status (18.14%), Life Impact, Psychosocial, Adverse Events, and Mortality. Geriatric-specific outcomes such as balance and physical activity were identified but inconsistently reported; for instance, balance function was assessed in only 3 studies (3.16%), frailty in 2 studies (2.11%), and physical activity ability in 6 studies (6.32%). Reporting of adverse events (e.g., falls) and mortality was notably limited. The overall evidence quality ranged from moderate to high. Conclusion: Outcome assessment in PR for older adults with COPD is multidimensional and requires age-specific sensitivity. This review provides a critical evidence base for clinical practice and future research. Future research should develop a COS integrating geriatric-specific indicators to enhance consistency and personalization of care. The findings directly support clinicians and researchers in selecting appropriate, comprehensive outcome measures that reflect the priorities of older adults with COPD, thereby improving the impact of rehabilitation programs. © The Author(s) 2026.","COPD; Older adults; Outcome indicators; Pulmonary rehabilitation; Systematic review","Aged; Humans; Pulmonary Disease, Chronic Obstructive; Treatment Outcome; aged; chronic obstructive lung disease; diagnosis; human; rehabilitation; treatment outcome","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105047931361"
"Liu H.; Wu J.","Liu, Hong (60564126300); Wu, Jie (60564160400)","60564126300; 60564160400","Nursing strategies for managing urological disorders in aging populations: a comprehensive review","2026","BMC Urology","26","1","91","","","0","10.1186/s12894-026-02085-6","https://www.scopus.com/pages/publications/105035000730?origin=resultslist","Urological disorders are increasingly common in aging populations, with conditions such as benign prostatic hyperplasia (BPH), prostate cancer, urinary incontinence (UI), and repeated urinary tract infections (UTIs) affecting a growing number of individuals. Nurses play a central role in managing these conditions, addressing the complex needs of older adults who often face multiple health issues, polypharmacy, and mental health challenges. This review explores how nurses apply evidence-based practices to care for elderly patients with urological disorders, emphasizing patient-centered approaches and interdisciplinary collaboration. Key focus areas include assessing and managing urinary symptoms, implementing behavioral strategies, utilizing technologies like remote urology, and promoting bladder health. The review highlights the importance of patient education, family support, and UTI prevention, particularly regarding catheter use. By synthesizing current research, this review underscores the vital role of nursing in improving outcomes and quality of life for older adults, advocating for the integration of urological nursing into senior healthcare systems and guiding future research and practice. © The Author(s) 2026.","Aging populations; Continence care; Geriatric urology; Nursing strategies; Prostate cancer; Urinary tract infections; Urological disorders","Aged; Aging; Geriatric Nursing; Humans; Male; Urologic Diseases; aged; aging; geriatric nursing; human; male; procedures; urinary tract disease","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105035000730"
"Gharib M.; Abdel-Haliem M.E.F.; Nassar N.M.","Gharib, Mona (32067643300); Abdel-Haliem, Mahmoud E. F. (6504239712); Nassar, Nagham M. (60723126600)","32067643300; 6504239712; 60723126600","Machine learning-based prediction of E. coli infection in hospitalized patients using a no-code analytical framework","2026","Scientific Reports","16","1","20563","","","0","10.1038/s41598-026-59795-y","https://www.scopus.com/pages/publications/105043688701?origin=resultslist","Hospital-acquired infections (HAIs) remain a major global concern, contributing significantly to increased morbidity, mortality, and healthcare costs. Among the causative pathogens, Escherichia coli (E. coli) is one of the most frequently isolated microorganisms, particularly in urinary tract infections (UTIs), bloodstream infections, and surgical site infections. Early and accurate prediction of E. coli infection in hospitalized patients remains a significant clinical challenge, yet it has the potential to substantially improve patient outcomes. In addition, identifying patient-related risk factors can support targeted infection control strategies. This study aims to evaluate a no-code machine learning (ML) approach for early prediction of E. coli infection and to identify associated risk factors. ML techniques provide a powerful alternative by enabling the analysis of high-dimensional and heterogeneous datasets, facilitating the discovery of hidden patterns and supporting individualized risk prediction. In this study, a total of 300 clinical samples was collected as a training dataset from hospitalized patients between July 2024 and February 2025 across multiple units of Zagazig University Hospital, Sharkia, Egypt. An independent internal validation dataset of 100 samples was collected during May 2026 from the same hospital, its purpose was to evaluate model generalizability on completely unseen data. Bacterial isolates were identified using standard biochemical methods. Data analysis was performed using the Orange visual programming platform, implementing a modular ML pipeline that integrates data preprocessing, feature handling, model training, and performance evaluation within a no-code environment. The Naive Bayes model, shows potential for predicting E. coli infection in hospitalized patients. The model is intended to predict E. coli infection at the time of specimen collection, before culture results are finalized, depending on clinical data. However, further validation in larger, multi-center prospective cohorts is needed before clinical implementation. © The Author(s) 2026.","Artificial intelligence; Clinical prediction; Data mining; Machine learning; No-code ML; Risk assessment","Classification Algorithms; Cross Infection; Escherichia coli; Escherichia coli Infections; Female; Hospitalization; Humans; Machine Learning; Male; Middle Aged; Prediction Algorithms; Predictive Learning Models; Risk Factors; Urinary Tract Infections; classification algorithm; cross infection; diagnosis; epidemiology; Escherichia coli; Escherichia coli infection; female; hospitalization; human; isolation and purification; machine learning; male; microbiology; middle aged; prediction algorithm; predictive learning (machine learning); risk factor; urinary tract infection","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105043688701"
"Ren L.; Pan H.; Chen A.; Ahn S.; Miao M.","Ren, Liping (57197822754); Pan, Haosen (60589200700); Chen, Ankai (60588733200); Ahn, Sukhee (18338417700); Miao, Maoyun (60127493700)","57197822754; 60589200700; 60588733200; 18338417700; 60127493700","Active aging profiles mediate the effect of social support on subjective well-being among community-dwelling older adults: a latent profile mediation analysis","2026","BMC Geriatrics","26","1","558","","","0","10.1186/s12877-026-07342-9","https://www.scopus.com/pages/publications/105036185365?origin=resultslist","Background: Subjective well-being is a key measure of psychological health in older adults. However, limited research has explored how social support and patterns of active aging combine to influence well-being. This study aims to identify active aging profiles and assess their roles as mediators between social support and subjective well-being in community-dwelling older adults. Methods: A cross‑sectional survey was conducted among 482 community-dwelling older adults from four communities in China between January and May 2025. Participants completed the Chinese versions of the Social Support Rating Scale, Active Aging Scale, and Memorial University of Newfoundland Scale of Happiness. Latent profile analysis identified active aging profiles, and mediation analysis tested the indirect effects of social support on subjective well-being through active aging. Results: Among 435 respondents, the mean subjective well‑being score was 18.69 ± 16.44, reflecting relatively low subjective well-being. Three active-aging profiles emerged: high active aging (46.7%), moderate active aging (29.9%), and low active aging (23.4%). Social support was positively correlated with active aging and subjective well-being. Mediation analysis revealed that a high active aging profile significantly mediated the association between social support and subjective well-being. Conclusion: Social support and active aging profiles are important determinants of subjective well-being in older adults. Interventions that strengthen social support and encourage high levels of active aging may effectively promote health and engagement in community-dwelling older adults. © The Author(s) 2026.","Active aging; Latent profile mediation analysis; Older adults; Social support; Subjective well-being","Aged; Aged, 80 and over; Aging; Aging in Place; China; Cross-Sectional Studies; Female; Healthy Aging; Humans; Independent Living; Male; Mediation Analysis; Psychological Well-Being; Social Support; adult; aged; article; Chinese; community; cross-sectional study; emotional well-being; female; happiness; healthy aging; human; major clinical study; male; mediation analysis; Newfoundland and Labrador; psychological well-being; social support; very elderly; aging; China; epidemiology; independent living; mediation analysis; psychology","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105036185365"
